freqs:, k index, k1, k2, k3, kmag/2pi, band 1, band 2, band 3, band 4, band 5, band 6, band 7, band 8, band 9, band 10, band 11, band 12, band 13, band 14, band 15
freqs:, 1, 0, 0, 0, 0, 0, 0, 0.324343, 0.324616, 0.324984, 0.325301, 0.388925, 0.389109, 0.389131, 0.389485, 0.412284, 0.415187, 0.711355, 0.712533, 0.713445
freqs:, 2, 0, 0.1, 0, 0.0816497, 0.0524388, 0.0526716, 0.326392, 0.3269, 0.327723, 0.327966, 0.373852, 0.375268, 0.395114, 0.397708, 0.410465, 0.413155, 0.710754, 0.711278, 0.712597
freqs:, 3, 0, 0.2, 0, 0.163299, 0.104133, 0.104635, 0.332952, 0.33323, 0.335075, 0.33562, 0.351398, 0.353678, 0.394484, 0.399421, 0.405062, 0.40725, 0.709484, 0.711166, 0.712259
freqs:, 4, 0, 0.3, 0, 0.244949, 0.154307, 0.155145, 0.322182, 0.324682, 0.342454, 0.344023, 0.345685, 0.347097, 0.388511, 0.395276, 0.396345, 0.397953, 0.708302, 0.709704, 0.71472
freqs:, 5, 0, 0.4, 0, 0.326599, 0.202127, 0.203383, 0.287, 0.289215, 0.354206, 0.357222, 0.358599, 0.360568, 0.37875, 0.384817, 0.386034, 0.386449, 0.707705, 0.708597, 0.718391
freqs:, 6, 0, 0.5, 0, 0.408248, 0.246413, 0.246931, 0.248286, 0.248537, 0.366583, 0.366992, 0.371165, 0.371505, 0.372406, 0.372597, 0.374129, 0.374489, 0.707328, 0.708414, 0.723241
freqs:, 7, 0.1, 0.5, 0, 0.432049, 0.258315, 0.258844, 0.261141, 0.261381, 0.371401, 0.371815, 0.373595, 0.373909, 0.37733, 0.37748, 0.377968, 0.378267, 0.711467, 0.712581, 0.717563
freqs:, 8, 0.2, 0.5, 0, 0.496655, 0.289176, 0.28978, 0.293306, 0.293487, 0.381433, 0.381789, 0.383787, 0.384178, 0.38747, 0.387761, 0.38803, 0.388255, 0.712341, 0.712938, 0.715979
freqs:, 9, 0.3, 0.5, 0, 0.588784, 0.327921, 0.328649, 0.332226, 0.332371, 0.390597, 0.391009, 0.397482, 0.398033, 0.398375, 0.398827, 0.399932, 0.400245, 0.709464, 0.710058, 0.71318
freqs:, 10, 0.4, 0.5, 0, 0.697615, 0.363799, 0.364663, 0.366261, 0.366486, 0.394823, 0.395217, 0.399827, 0.400598, 0.409139, 0.409922, 0.410057, 0.41063, 0.710404, 0.710783, 0.712436
freqs:, 11, 0.5, 0.5, 0, 0.816497, 0.386457, 0.387056, 0.388398, 0.388421, 0.389231, 0.389622, 0.389885, 0.39082, 0.413088, 0.41394, 0.414059, 0.414706, 0.712381, 0.713856, 0.714583
freqs:, 12, 0.4, 0.4, 0, 0.653197, 0.351253, 0.353215, 0.37595, 0.3802, 0.393631, 0.395532, 0.399289, 0.401446, 0.406289, 0.406411, 0.412023, 0.413891, 0.708585, 0.710654, 0.714305
freqs:, 13, 0.3, 0.3, 0, 0.489898, 0.286971, 0.288922, 0.366756, 0.375067, 0.3781, 0.385316, 0.385943, 0.386386, 0.401658, 0.408057, 0.408935, 0.412203, 0.706106, 0.707483, 0.719436
freqs:, 14, 0.2, 0.2, 0, 0.326599, 0.202061, 0.20321, 0.353543, 0.357998, 0.358338, 0.36057, 0.366777, 0.375438, 0.402904, 0.406793, 0.408515, 0.412791, 0.706086, 0.706354, 0.722984
freqs:, 15, 0.1, 0.1, 0, 0.163299, 0.104093, 0.104568, 0.332346, 0.334037, 0.334663, 0.335834, 0.375776, 0.381004, 0.396704, 0.401119, 0.410729, 0.41462, 0.707856, 0.708878, 0.71337
freqs:, 16, 0, 0, 0, 0, 0, 0, 0.324343, 0.324616, 0.324984, 0.325301, 0.388925, 0.389109, 0.389131, 0.389485, 0.412284, 0.415187, 0.711355, 0.712533, 0.713432
freqs:, 17, 0, 0.1, 0, 0.0816497, 0.0524388, 0.0526716, 0.326392, 0.3269, 0.327723, 0.327966, 0.373852, 0.375268, 0.395114, 0.397708, 0.410465, 0.413155, 0.710754, 0.711278, 0.712596
freqs:, 18, 0, 0.2, 0, 0.163299, 0.104133, 0.104635, 0.332952, 0.33323, 0.335075, 0.33562, 0.351398, 0.353678, 0.394484, 0.399421, 0.405062, 0.40725, 0.709484, 0.711166, 0.712259
freqs:, 19, 0, 0.3, 0, 0.244949, 0.154307, 0.155145, 0.322182, 0.324682, 0.342454, 0.344023, 0.345685, 0.347097, 0.388511, 0.395276, 0.396345, 0.397953, 0.708302, 0.709704, 0.71472
freqs:, 20, 0, 0.4, 0, 0.326599, 0.202127, 0.203383, 0.287, 0.289215, 0.354206, 0.357222, 0.358599, 0.360568, 0.37875, 0.384817, 0.386034, 0.386449, 0.707705, 0.708597, 0.718391
freqs:, 21, 0, 0.5, 0, 0.408248, 0.246413, 0.246931, 0.248286, 0.248537, 0.366583, 0.366992, 0.371165, 0.371505, 0.372406, 0.372597, 0.374129, 0.374489, 0.707328, 0.708414, 0.723241
freqs:, 22, 0.1, 0.5, 0.1, 0.43589, 0.260341, 0.2609, 0.263011, 0.263383, 0.359109, 0.36107, 0.364385, 0.364788, 0.382483, 0.384716, 0.388496, 0.389415, 0.711156, 0.713775, 0.71788
freqs:, 23, 0.2, 0.5, 0.2, 0.509902, 0.295483, 0.296381, 0.299005, 0.299661, 0.360194, 0.362442, 0.364367, 0.365024, 0.397992, 0.399991, 0.404075, 0.404833, 0.7129, 0.714557, 0.715318
freqs:, 24, 0.3, 0.5, 0.3, 0.613732, 0.336521, 0.33954, 0.339967, 0.343026, 0.367737, 0.370772, 0.37437, 0.375529, 0.407338, 0.412008, 0.414351, 0.414888, 0.707233, 0.709003, 0.717607
freqs:, 25, 0.4, 0.5, 0.4, 0.734847, 0.368604, 0.370973, 0.377418, 0.378777, 0.37909, 0.380191, 0.390299, 0.39108, 0.409736, 0.41375, 0.414805, 0.416923, 0.701172, 0.702936, 0.706776
freqs:, 26, 0.5, 0.5, 0.5, 0.866025, 0.379282, 0.382387, 0.383104, 0.383349, 0.403034, 0.403579, 0.4041, 0.404235, 0.404938, 0.40553, 0.40591, 0.406638, 0.697969, 0.700484, 0.700725
freqs:, 27, 0.4, 0.4, 0.4, 0.69282, 0.367772, 0.368587, 0.370516, 0.372014, 0.378003, 0.381036, 0.398173, 0.400127, 0.408702, 0.413314, 0.413581, 0.417574, 0.701293, 0.702727, 0.709606
freqs:, 28, 0.3, 0.3, 0.3, 0.519615, 0.302566, 0.303711, 0.344353, 0.34828, 0.371391, 0.378111, 0.394829, 0.398648, 0.404788, 0.408931, 0.412053, 0.417775, 0.705953, 0.70706, 0.724404
freqs:, 29, 0.2, 0.2, 0.2, 0.34641, 0.213984, 0.21478, 0.319307, 0.324259, 0.370281, 0.378319, 0.382876, 0.384753, 0.39452, 0.399074, 0.413104, 0.417889, 0.708952, 0.710138, 0.721376
freqs:, 30, 0.1, 0.1, 0.1, 0.173205, 0.110454, 0.110819, 0.310933, 0.313997, 0.352553, 0.353098, 0.377687, 0.382834, 0.39339, 0.397286, 0.412667, 0.416125, 0.710168, 0.71072, 0.711366
freqs:, 31, 0, 0, 0, 0, 0, 0, 0.324343, 0.324616, 0.324984, 0.325301, 0.388925, 0.389109, 0.389131, 0.389485, 0.412284, 0.415187, 0.711355, 0.712534, 0.713439
